actors
Emil Jannings
Warner Baxter
George Arliss
Lionel Barrymore
Wallace Beery
Fredric March
Charles Laughton
Clark Gable
Victor McLaglen
Paul Muni
Spencer Tracy
Spencer Tracy
Robert Donat
James Stewart
Gary Cooper
James Cagney
Paul Lukas
Bing Crosby
Ray Milland
Fredric March
Ronald Colman
Laurence Olivier
Broderick Crawford
José Ferrer
Humphrey Bogart
Gary Cooper
William Holden
Marlon Brando
Ernest Borgnine
Yul Brynner
Alec Guinness
David Niven
Charlton Heston
Burt Lancaster
Maximilian Schell
Gregory Peck
Sidney Poitier
Rex Harrison
Lee Marvin
Paul Scofield
Rod Steiger
Cliff Robertson
John Wayne
Gene Hackman
Jack Lemmon
Art Carney
Jack Nicholson
Richard Dreyfuss
Jon Voight
Dustin Hoffman
Robert De
Henry Fonda
Ben Kingsley
Robert Duvall
F. Murray
William Hurt
Paul Newman
Michael Douglas
Dustin Hoffman
Daniel Day-Lewis
Jeremy Irons
Anthony Hopkins
Al Pacino
Tom Hanks
Tom Hanks
Nicolas Cage
Geoffrey Rush
Jack Nicholson
Roberto Benigni
Kevin Spacey
Russell Crowe
Denzel Washington
Adrien Brody
Sean Penn
Jamie Foxx
Philip Seymour
Forest Whitaker
Daniel Day-Lewis
Sean Penn
Jeff Bridges
Colin Firth
Jean Dujardin
Daniel Day-Lewis
Matthew McConaughey
Eddie Redmayne
Leonardo DiCaprio
Casey Affleck
Gary Oldman
Rami Malek
Joaquin Phoenix
Anthony Hopkins
Will Smith
Brendan Fraser
Cillian Murphy
